ID,Black,White,Result
514,Bletcher J.,Fletcher T.,0
515,Fletcher T.,Bletcher J.,0
516,Bletcher J.,Fletcher T.,0
517,Fletcher T.,Bletcher J.,0
518,Mugridge A.,Wyllie J.,0
519,Mugridge A.,Wyllie J.,2
520,Mugridge A.,Wyllie J.,0
521,Reid W.,Martins R.,0
522,Martins R.,Reid W.,0
523,Reid W.,Martins R.,0
524,Yates R.D.,Wyllie J.,0
525,Horsfall C.,Smith J.,0
526,Wyllie J.,Yates R.D.,0
527,Smith J.,Horsfall C.,1
528,Yates R.D.,Wyllie J.,0
529,Horsfall C.,Smith J.,2
530,Wyllie J.,Yates R.D.,0
531,Smith J.,Horsfall C.,2
532,Yates R.D.,Wyllie J.,0
533,Horsfall C.,Smith J.,2
534,Wyllie J.,Yates R.D.,0
535,Smith J.,Horsfall C.,0
536,Horsfall C.,Smith J.,2
537,Wyllie J.,Yates R.D.,0
538,Smith J.,Horsfall C.,0
539,Horsfall C.,Smith J.,2
540,Wyllie J.,Yates R.D.,0
541,Wyllie J.,Yates R.D.,0
542,Wyllie J.,Yates R.D.,0
543,Wyllie J.,Yates R.D.,0
544,Wyllie J.,Yates R.D.,0
545,Wyllie J.,Yates R.D.,0
546,Wyllie J.,Yates R.D.,0
547,Wyllie J.,Yates R.D.,0
548,Wyllie J.,Yates R.D.,0
549,Wyllie J.,Yates R.D.,0
550,Wyllie J.,Yates R.D.,0
551,Wyllie J.,Yates R.D.,0
552,Yates R.D.,Wyllie J.,2
553,Wyllie J.,Yates R.D.,0
554,Yates R.D.,Wyllie J.,0
555,Wyllie J.,Yates R.D.,0
556,Yates R.D.,Wyllie J.,0
557,Wyllie J.,Yates R.D.,0
558,Yates R.D.,Wyllie J.,0
559,Wyllie J.,Yates R.D.,0
560,Yates R.D.,Wyllie J.,0
561,Wyllie J.,Yates R.D.,0
562,Yates R.D.,Wyllie J.,1
563,Wyllie J.,Yates R.D.,0
564,Yates R.D.,Wyllie J.,0
565,Wyllie J.,Yates R.D.,2
566,Martins R.,Yates R.D.,1
567,Barker W.R.,Yates R.D.,0
568,Yates R.D.,Martins R.,0
569,Yates R.D.,Barker W.R.,0
570,Martins R.,Yates R.D.,0
